adm1_pcode,county,adm2_pcode,constituency,fo,partners,n_partners,population,number_of_households,average_household_size,children_0_17,poverty_incidence,poor_persons,werk_target,fca_target,lisp_target,save_target,irck_target,so_target,combined_target
KE002,Kwale,KE002007,Msambweni,Nairobi,"IRCK, WERK",2,173213,45466,3.809725949060837,75831,50.5,87472.565,1788,0,0,0,214,NA,2002
KE002,Kwale,KE002008,Lunga Lunga,Nairobi,"IRCK, WERK",2,198195,37366,5.304153508537173,110173,50.5,100088.475,2046,0,0,0,245,NA,2290
KE002,Kwale,KE002009,Matuga,Nairobi,"IRCK, WERK",2,192999,39231,4.91955341439168,95721,50.5,97464.495,1992,0,0,0,238,NA,2230
KE002,Kwale,KE002010,Kinango,Nairobi,WERK,1,294341,51113,5.758632833134428,166670,50.5,148642.205,3038,0,0,0,0,NA,3038
KE003,Kilifi,KE003011,Kilifi North,Nairobi,"Special Olympics, WERK",2,177527,39512,4.492989471552946,83972,49.2,87343.28400000001,1785,0,0,0,0,NA,1785
KE003,Kilifi,KE003012,Kilifi South,Nairobi,"Special Olympics, WERK",2,266209,64495,4.127591286146213,125327,49.2,130974.82800000001,2677,0,0,0,0,NA,2677
KE003,Kilifi,KE003013,Kaloleni,Nairobi,"Special Olympics, WERK",2,192905,36355,5.306147710081144,100438,49.2,94909.26000000001,1940,0,0,0,0,NA,1940
KE003,Kilifi,KE003014,Rabai,Nairobi,"Special Olympics, WERK",2,120479,24809,4.856261840461123,57069,49.2,59275.668000000005,1211,0,0,0,0,NA,1211
KE003,Kilifi,KE003015,Ganze,Nairobi,"Special Olympics, WERK",2,166203,26737,6.21621722706362,93756,49.2,81771.876,1671,0,0,0,0,NA,1671
KE003,Kilifi,KE003016,Malindi,Nairobi,"Special Olympics, WERK",2,326991,73547,4.446014113424069,155835,49.2,160879.57200000001,3288,0,0,0,0,NA,3288
KE003,Kilifi,KE003017,Magarini,Nairobi,"Special Olympics, WERK",2,190644,33017,5.77411636429718,105525,49.2,93796.84800000001,1917,0,0,0,0,NA,1917
KE004,Tana River,KE004018,Garsen,Garissa,WERK,1,116463,26886,4.331733987949119,61336,67.8,78961.91399999999,1614,0,0,0,0,NA,1614
KE004,Tana River,KE004019,Galole,Garissa,WERK,1,87954,18565,4.737624562348505,49247,67.8,59632.81199999999,1219,0,0,0,0,NA,1219
KE004,Tana River,KE004020,Bura,Garissa,WERK,1,110293,22791,4.839322539598965,63341,67.8,74778.654,1528,0,0,0,0,NA,1528
KE007,Garissa,KE007027,Dujis,Garissa,"Finn Church Aid, Special Olympics",2,161951,30518,5.306737007667606,85824,68.3,110612.533,0,3397,0,0,0,NA,3397
KE007,Garissa,KE007028,Balambala,Garissa,"Finn Church Aid, Special Olympics",2,31819,4337,7.336638229190685,14805,68.3,21732.376999999997,0,667,0,0,0,NA,667
KE007,Garissa,KE007029,Lagdera,Garissa,"Finn Church Aid, Special Olympics",2,49852,8340,5.977458033573141,27753,68.3,34048.916,0,1046,0,0,0,NA,1046
KE007,Garissa,KE007030,Dadaab,Garissa,Special Olympics,1,183410,35793,5.124186293409326,92971,68.3,125269.02999999998,0,0,0,0,0,NA,0
KE007,Garissa,KE007031,Fafi,Garissa,Special Olympics,1,267032,43925,6.0792714854866245,151157,68.3,182382.85599999997,0,0,0,0,0,NA,0
KE007,Garissa,KE007032,Ijara,Garissa,Special Olympics,1,141418,18481,7.65207510416103,87852,68.3,96588.49399999999,0,0,0,0,0,NA,0
KE008,Wajir,KE008033,Wajir North,Garissa,Save the Children,1,109984,16970,6.481084266352386,66923,66.3,72919.39199999999,0,0,0,2136,0,NA,2136
KE008,Wajir,KE008034,Wajir East,Garissa,Save the Children,1,109316,18674,5.853914533576095,62612,66.3,72476.50799999999,0,0,0,2123,0,NA,2123
KE008,Wajir,KE008035,Tarbaj,Garissa,"NA",1,56983,9378,6.0762422691405416,35573,66.3,37779.72899999999,0,0,0,0,0,NA,0
KE008,Wajir,KE008036,Wajir West,Garissa,"NA",1,121038,16362,7.3975064173083975,76956,66.3,80248.19399999999,0,0,0,0,0,NA,0
KE008,Wajir,KE008037,Eldas,Garissa,"NA",1,88310,13892,6.356896055283617,53230,66.3,58549.52999999999,0,0,0,0,0,NA,0
KE008,Wajir,KE008038,Wajir South,Garissa,Save the Children,1,289671,52656,5.501196444849589,164569,66.3,192051.87299999996,0,0,0,5626,0,NA,5626
KE009,Mandera,KE009039,Mandera West,Garissa,Save the Children,1,97983,14274,6.864438839848676,65124,71.9,70449.777,0,0,0,2064,0,NA,2064
KE009,Mandera,KE009040,Banissa,Garissa,Save the Children,1,152043,24285,6.2607782581840645,95849,71.9,109318.91700000002,0,0,0,3202,0,NA,3202
