county,sub_county,admin_area,population,number_of_households,average_household_size,constituency,adm1_pcode,adm2_pcode,fo,sub_county_pcode,age_0_4,age_5_9,age_10_14,age_15_17
Mombasa,Changamwe,SubCounty,130541,46614,2.8,Changamwe,KE001,KE001001,NA,KEN_1_101,14775,13318,11943,5773
Mombasa,Jomvu,SubCounty,162760,53472,3,Jomvu,KE001,KE001002,NA,KEN_1_102,21156,18957,16728,7564
Mombasa,Kisauni,SubCounty,287131,88202,3.3,Kisauni,KE001,KE001003,NA,KEN_1_103,37972,33008,29343,14610
Mombasa,Likoni,SubCounty,249230,81191,3.1,Likoni,KE001,KE001005,NA,KEN_1_104,33633,28202,23882,11987
Mombasa,Mvita,SubCounty,147983,38995,3.8,Mvita,KE001,KE001006,NA,KEN_1_105,15502,14719,14263,8355
Mombasa,Nyali,SubCounty,213342,69948,3.1,Nyali,KE001,KE001004,NA,KEN_1_106,24865,21782,19265,9769
Kwale,Kinango,SubCounty,93789,16043,5.8,Kinango,KE002,KE002010,Nairobi,KEN_2_201,16100,16309,15105,7217
Kwale,Lungalunga,SubCounty,198195,37366,5.3,Lunga Lunga,KE002,KE002008,Nairobi,KEN_2_202,31658,32870,31037,14608
Kwale,Matuga,SubCounty,192999,39231,4.9,Matuga,KE002,KE002009,Nairobi,KEN_2_203,26411,27689,27495,14126
Kwale,Msambweni,SubCounty,173213,45466,3.8,Msambweni,KE002,KE002007,Nairobi,KEN_2_204,22721,21880,20590,10640
Kwale,Samburu-Kwale,SubCounty,200552,35070,5.7,Kinango,KE002,KE002010,Nairobi,KEN_2_205,33400,32994,31062,14483
Kilifi,Chonyi,SubCounty,62318,11421,5.5,Chonyi,KE003,KE003012,Nairobi,KEN_3_301,8702,9783,9920,5264
Kilifi,Ganze,SubCounty,143590,23258,6.2,Ganze,KE003,KE003015,Nairobi,KEN_3_302,21843,23459,23833,12568
Kilifi,Kaloleni,SubCounty,192905,36355,5.3,Kaloleni,KE003,KE003013,Nairobi,KEN_3_303,27665,28791,29214,14768
Kilifi,Kauma,SubCounty,22613,3479,6.5,Kauma,KE003,KE003015,Nairobi,KEN_3_304,3031,3381,3639,2002
Kilifi,Kilifi North,SubCounty,177527,39512,4.5,Kilifi North,KE003,KE003011,Nairobi,KEN_3_305,24248,23527,23767,12430
Kilifi,Kilifi South,SubCounty,203891,53074,3.8,Kilifi South,KE003,KE003012,Nairobi,KEN_3_306,26702,26278,25292,13386
Kilifi,Magarini,SubCounty,190644,33017,5.8,Magarini,KE003,KE003017,Nairobi,KEN_3_307,28535,30711,30699,15580
Kilifi,Malindi,SubCounty,326991,73547,4.4,Malindi,KE003,KE003016,Nairobi,KEN_3_308,44586,44176,43771,23302
Kilifi,Rabai,SubCounty,120479,24809,4.9,Rabai,KE003,KE003014,Nairobi,KEN_3_309,15519,16079,16637,8834
Tana River,Tana North,SubCounty,110293,22791,4.8,Tana North,KE004,KE004020,Garissa,KEN_4_402,19602,19359,16862,7518
Tana River,Tana Delta,SubCounty,116463,26886,4.3,Tana Delta,KE004,KE004018,Garissa,KEN_4_401,18403,18617,16530,7786
Tana River,Tana River,SubCounty,87954,18565,4.7,Tana River,KE004,KE004019,Garissa,KEN_4_403,15173,14993,13298,5783
Lamu,Lamu East,SubCounty,22212,5090,4.4,Lamu East,KE005,KE005021,NA,KEN_5_501,2789,2837,2815,1442
Lamu,Lamu West,SubCounty,119697,32873,3.6,Lamu West,KE005,KE005022,NA,KEN_5_502,15949,15909,15658,8063
Taita Taveta,Mwatate,SubCounty,81389,23698,3.4,Mwatate,KE006,KE006025,NA,KEN_6_601,8908,8876,9824,5449
Taita Taveta,Taita,SubCounty,55643,15094,3.7,Taita,KE006,KE006024,NA,KEN_6_602,5649,6007,6712,3704
Taita Taveta,Taveta,SubCounty,89319,24115,3.7,Taveta,KE006,KE006023,NA,KEN_6_603,10975,10539,11106,6074
Taita Taveta,Voi,SubCounty,109396,33522,3.3,Voi,KE006,KE006026,NA,KEN_6_604,13157,11941,12188,6817
Garissa,Balambala,SubCounty,31819,4337,7.3,Balambala,KE007,KE007028,Garissa,KEN_7_701,2167,4112,5501,3025
Garissa,Dadaab,SubCounty,183410,35793,5.1,Dadaab,KE007,KE007030,Garissa,KEN_7_702,23366,27224,27493,14888
Garissa,Fafi,SubCounty,133286,23671,5.6,Fafi,KE007,KE007031,Garissa,KEN_7_703,18019,20571,21100,12168
Garissa,Garissa,SubCounty,161951,30518,5.3,Garissa Township,KE007,KE007027,Garissa,KEN_7_704,23195,24733,24161,13735
Garissa,Hulugho,SubCounty,133746,20254,6.6,Hulugho,KE007,KE007031,Garissa,KEN_7_705,18078,24412,23463,13346
Garissa,Ijara,SubCounty,141418,18481,7.7,Ijara,KE007,KE007032,Garissa,KEN_7_706,19601,25417,26965,15869
Garissa,Lagdera,SubCounty,49852,8340,6,Lagdera,KE007,KE007029,Garissa,KEN_7_707,7190,8747,7980,3836
Wajir,Buna,SubCounty,48117,6480,7.4,Buna,KE008,KE008033,Garissa,KEN_8_801,7617,8458,8731,4285
Wajir,Eldas,SubCounty,88310,13892,6.4,Eldas,KE008,KE008037,Garissa,KEN_8_802,13690,16645,15924,6971
Wajir,Habaswein,SubCounty,173446,31292,5.5,Habasweine,KE008,KE008038,Garissa,KEN_8_803,28161,30077,27415,13906
Wajir,Tarbaj,SubCounty,56983,9378,6.1,Tarbaj,KE008,KE008035,Garissa,KEN_8_804,10608,10755,9609,4601
Wajir,Wajir East,SubCounty,109316,18674,5.9,Wajir East,KE008,KE008034,Garissa,KEN_8_805,15446,18120,18730,10316
Wajir,Wajir North,SubCounty,61867,10490,5.9,Wajir North,KE008,KE008033,Garissa,KEN_8_806,11454,11538,9906,4934
Wajir,Wajir South,SubCounty,116225,21364,5.4,Wajir South,KE008,KE008038,Garissa,KEN_8_807,16949,19209,18648,10204
Wajir,Wajir West,SubCounty,121038,16362,7.4,Wajir West,KE008,KE008036,Garissa,KEN_8_808,18902,22632,23415,12007
Mandera,Mandera West,SubCounty,97983,14274,6.9,Mandera West,KE009,KE009039,Garissa,KEN_9_901,20846,20245,16942,7091
Mandera,Banisa,SubCounty,152043,24285,6.3,Banissa,KE009,KE009040,Garissa,KEN_9_902,30867,30536,24800,9646
Mandera,Kutulo,SubCounty,71602,9446,7.6,Kutulo,KE009,KE009042,Garissa,KEN_9_903,14084,14011,12931,6034
Mandera,Lafey,SubCounty,83001,11597,7.2,Lafey,KE009,KE009044,Garissa,KEN_9_904,14999,14531,13938,8753
Mandera,Mandera Central,SubCounty,156623,21140,7.4,Mandera Central,KE009,KE009042,Garissa,KEN_9_905,29738,31907,27975,13872
Mandera,Mandera East,SubCounty,158586,25904,6.1,Mandera East,KE009,KE009043,Garissa,KEN_9_906,26227,26641,25358,13344
Mandera,Mandera North,SubCounty,142241,19117,7.4,Mandera North,KE009,KE009041,Garissa,KEN_9_907,24330,27288,27529,13313
Marsabit,Loiyangalani,SubCounty,35274,7774,4.5,Loyangalani,KE010,KE010048,Garissa,KEN_10_1001,6617,6442,5246,2144
Marsabit,Marsabit Central,SubCounty,78167,15849,4.9,Marsabit Central,KE010,KE010047,Garissa,KEN_10_1002,11595,11713,11376,6777
Marsabit,Marsabit North,SubCounty,49056,7521,6.5,Marsabit North,KE010,KE010046,Garissa,KEN_10_1003,6524,8058,7884,4617
Marsabit,Marsabit South,SubCounty,64937,11615,5.6,Marsabit South,KE010,KE010048,Garissa,KEN_10_1004,10066,11231,11011,4843
