indicator,age_modifier,sex_modifier,value,county
Number of education Institutions (Public & Private),preprimary_ece,NA,46652,National
Number of education Institutions (Public & Private),primary,NA,31464,National
Number of education Institutions (Public & Private),secondary,NA,10390,National
Net Enrolment Rate (NER),preprimary_ece,male,111.5,National
Net Enrolment Rate (NER),preprimary_ece,female,110.8,National
Net Enrolment Rate (NER),preprimary_ece,total,111.2,National
Net Enrolment Rate (NER),primary,male,78.6,National
Net Enrolment Rate (NER),primary,female,77.7,National
Net Enrolment Rate (NER),primary,total,78.1,National
Net Enrolment Rate (NER),secondary,male,51.2,National
Net Enrolment Rate (NER),secondary,female,57.2,National
Net Enrolment Rate (NER),secondary,total,54.1,National
Gender Parity Index,preprimary_ece,NA,0.97,National
Gender Parity Index,primary,NA,0.96,National
Gender Parity Index,secondary,NA,1.01,National
Learner to teacher Ratio in Public Schools,preprimary_ece,NA,52,National
Learner to teacher Ratio in Public Schools,primary,NA,40,National
Learner to teacher Ratio in Public Schools,secondary,NA,29,National
Learner-Classroom Ratio in Public Schools,preprimary_ece,NA,53,National
Learner-Classroom Ratio in Public Schools,primary,NA,37,National
Learner-Classroom Ratio in Public Schools,secondary,NA,40,National
Primary-to-Secondary Transition Rate,secondary,male,87,National
Primary-to-Secondary Transition Rate,secondary,female,87.1,National
Primary-to-Secondary Transition Rate,secondary,total,87.1,National
Learner to Toilet Ratio in Public Schools ,preprimary_ece,male,40,National
Learner to Toilet Ratio in Public Schools ,preprimary_ece,female,34,National
Learner to Toilet Ratio in Public Schools ,preprimary_ece,total,37,National
Learner to Toilet Ratio in Public Schools ,primary,male,33,National
Learner to Toilet Ratio in Public Schools ,primary,female,30,National
Learner to Toilet Ratio in Public Schools ,primary,total,32,National
Learner to Toilet Ratio in Public Schools ,secondary,male,22,National
Learner to Toilet Ratio in Public Schools ,secondary,female,18,National
Learner to Toilet Ratio in Public Schools ,secondary,total,20,National
FGM: Percentage of women aged 15-49 yrs who were ever circumcised across Kenya,total,female,0.148,National
Number of education Institutions (Public & Private),preprimary_ece,total,1472,Makueni
Number of education Institutions (Public & Private),primary,total,1017,Makueni
Number of education Institutions (Public & Private),secondary,total,407,Makueni
Gender Parity Index,preprimary_ece,total,0.96,Makueni
Gender Parity Index,primary,total,0.94,Makueni
