adm2_en,adm2_pcode,adm2_ref,adm2alt1_en,adm2alt2_en,adm1_en,adm1_pcode,adm0_en,adm0_pcode,date,validon,validto,area_sqkm
Baringo Central,KE030159,NA,NA,NA,Baringo,KE030,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,661.69281005859375
Baringo North,KE030158,NA,NA,NA,Baringo,KE030,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,1633.774536132812
Baringo South,KE030160,NA,Marigat,NA,Baringo,KE030,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,1826.791625976562
Eldama Ravine,KE030162,NA,Koibatek,NA,Baringo,KE030,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,932.69769287109375
Mogotio,KE030161,NA,NA,NA,Baringo,KE030,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,1387.780517578125
Tiaty,KE030157,NA,East Pokot,Tiaty East,Baringo,KE030,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,4446.501953125
Bomet Central,KE036197,NA,NA,NA,Bomet,KE036,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,268.9505310058594
Bomet East,KE036196,NA,NA,NA,Bomet,KE036,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,305.809814453125
Chepalungu,KE036195,NA,NA,NA,Bomet,KE036,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,536.54638671875
Konoin,KE036198,NA,NA,NA,Bomet,KE036,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,851.3751220703125
Sotik,KE036194,NA,NA,NA,Bomet,KE036,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,475.5382385253906
Bumula,KE039219,NA,NA,NA,Bungoma,KE039,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,345.3331909179688
Kabuchai,KE039218,NA,Bungoma Central,NA,Bungoma,KE039,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,233.7437744140625
Kanduyi,KE039220,NA,Bungoma South,NA,Bungoma,KE039,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,319.17919921875
Kimilili,KE039223,NA,Kimilili-Bungoma,NA,Bungoma,KE039,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,177.4106750488281
Mt. Elgon,KE039216,NA,Cheptais,NA,Bungoma,KE039,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,954.8994140625
Sirisia,KE039217,NA,Bungoma West,NA,Bungoma,KE039,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,210.1429901123047
Tongaren,KE039224,NA,Bungoma North,NA,Bungoma,KE039,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,375.4391784667969
Webuye East,KE039221,NA,Bungoma East,NA,Bungoma,KE039,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,163.9555053710938
Webuye West,KE039222,NA,NA,NA,Bungoma,KE039,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,236.0701904296875
Budalangi,KE040231,NA,NA,NA,Busia,KE040,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,310.6363220214844
Butula,KE040229,NA,NA,NA,Busia,KE040,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,242.9663848876953
Funyula,KE040230,NA,NA,NA,Busia,KE040,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,273.3175964355469
Matayos,KE040228,NA,NA,NA,Busia,KE040,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,193.9221496582031
Nambale,KE040227,NA,NA,NA,Busia,KE040,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,232.3359222412109
Teso North,KE040225,NA,NA,NA,Busia,KE040,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,254.073974609375
Teso South,KE040226,NA,NA,NA,Busia,KE040,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,304.3193664550781
Keiyo North,KE028149,NA,NA,NA,Elgeyo-Marakwet,KE028,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,541.85406494140625
Keiyo South,KE028150,NA,NA,NA,Elgeyo-Marakwet,KE028,Kenya,KE,2017-11-03T00:00:00Z,2019-10-31T00:00:00Z,NA,886.31158447265625
