adm1_en,adm1_pcode,adm2_pcode,origin,adm2_en,sub_county_pcode
Baringo,KE030,KE030159,adm2_en,Baringo Central,KEN_30_3001
Baringo,KE030,KE030158,adm2_en,Baringo North,KEN_30_3002
Baringo,KE030,KE030160,adm2_en,Baringo South,KEN_30_3005
Baringo,KE030,KE030160,adm2alt1_en,Marigat,KEN_30_3005
Baringo,KE030,KE030162,adm2_en,Eldama Ravine,KEN_30_3004
Baringo,KE030,KE030162,adm2alt1_en,Koibatek,KEN_30_3004
Baringo,KE030,KE030161,adm2_en,Mogotio,KEN_30_3006
Baringo,KE030,KE030157,adm2_en,Tiaty,KEN_30_3003
Baringo,KE030,KE030157,adm2alt1_en,East Pokot,KEN_30_3003
Baringo,KE030,KE030157,adm2alt2_en,Tiaty East,KEN_30_3007
Bomet,KE036,KE036197,adm2_en,Bomet Central,KEN_36_3605
Bomet,KE036,KE036196,adm2_en,Bomet East,KEN_36_3601
Bomet,KE036,KE036195,adm2_en,Chepalungu,KEN_36_3602
Bomet,KE036,KE036198,adm2_en,Konoin,KEN_36_3603
Bomet,KE036,KE036194,adm2_en,Sotik,KEN_36_3604
Bungoma,KE039,KE039219,adm2_en,Bumula,KEN_39_3901
Bungoma,KE039,KE039218,adm2_en,Kabuchai,KEN_39_3902
Bungoma,KE039,KE039218,adm2alt1_en,Bungoma Central,KEN_39_3902
Bungoma,KE039,KE039220,adm2_en,Kanduyi,KEN_39_3905
Bungoma,KE039,KE039220,adm2alt1_en,Bungoma South,KEN_39_3905
Bungoma,KE039,KE039223,adm2_en,Kimilili,KEN_39_3907
Bungoma,KE039,KE039223,adm2alt1_en,Kimilili-Bungoma,KEN_39_3907
Bungoma,KE039,KE039216,adm2_en,Mt. Elgon,KEN_39_3906
Bungoma,KE039,KE039216,adm2alt1_en,Cheptais,KEN_39_3906
Bungoma,KE039,KE039217,adm2_en,Sirisia,KEN_39_3909
Bungoma,KE039,KE039217,adm2alt1_en,Bungoma West,KEN_39_3909
Bungoma,KE039,KE039224,adm2_en,Tongaren,KEN_39_3910
Bungoma,KE039,KE039224,adm2alt1_en,Bungoma North,KEN_39_3904
Bungoma,KE039,KE039221,adm2_en,Webuye East,KEN_39_3903
Bungoma,KE039,KE039221,adm2alt1_en,Bungoma East,KEN_39_3903
Bungoma,KE039,KE039222,adm2_en,Webuye West,KEN_39_3911
Busia,KE040,KE040231,adm2_en,Budalangi,NA
Busia,KE040,KE040229,adm2_en,Butula,KEN_40_4003
Busia,KE040,KE040230,adm2_en,Funyula,NA
Busia,KE040,KE040228,adm2_en,Matayos,NA
Busia,KE040,KE040227,adm2_en,Nambale,KEN_40_4004
Busia,KE040,KE040225,adm2_en,Teso North,KEN_40_4006
Busia,KE040,KE040226,adm2_en,Teso South,KEN_40_4007
Elgeyo-Marakwet,KE028,KE028149,adm2_en,Keiyo North,KEN_28_2801
Elgeyo-Marakwet,KE028,KE028150,adm2_en,Keiyo South,KEN_28_2802
Elgeyo-Marakwet,KE028,KE028147,adm2_en,Marakwet East,KEN_28_2803
Elgeyo-Marakwet,KE028,KE028148,adm2_en,Marakwet West,KEN_28_2804
Embu,KE014,KE014065,adm2_en,Gachoka,KEN_14_1404
Embu,KE014,KE014065,adm2alt1_en,Mbeere South,KEN_14_1404
Embu,KE014,KE014063,adm2_en,Manyatta,NA
Embu,KE014,KE014064,adm2_en,Runyenjes,NA
Embu,KE014,KE014066,adm2_en,Siakago,KEN_14_1405
Embu,KE014,KE014066,adm2alt1_en,Mbeere North,KEN_14_1405
Garissa,KE007,KE007028,adm2_en,Balambala,KEN_7_701
Garissa,KE007,KE007030,adm2_en,Dadaab,KEN_7_702
Garissa,KE007,KE007027,adm2_en,Dujis,NA
Garissa,KE007,KE007027,adm2alt1_en,Garissa Township,NA
Garissa,KE007,KE007031,adm2_en,Fafi,KEN_7_703
Garissa,KE007,KE007031,adm2alt1_en,Hulugho,KEN_7_705
Garissa,KE007,KE007032,adm2_en,Ijara,KEN_7_706
Garissa,KE007,KE007029,adm2_en,Lagdera,KEN_7_707
Homa Bay,KE043,KE043249,adm2_en,Homa Bay,KEN_43_4301
Homa Bay,KE043,KE043246,adm2_en,Kabondo Kasipul,NA
Homa Bay,KE043,KE043247,adm2_en,Karachuonyo,NA
Homa Bay,KE043,KE043245,adm2_en,Kasipul,NA
Homa Bay,KE043,KE043250,adm2_en,Ndhiwa,KEN_43_4302
Homa Bay,KE043,KE043248,adm2_en,Rangwe,KEN_43_4306
Homa Bay,KE043,KE043251,adm2_en,Suba North,KEN_43_4307
Homa Bay,KE043,KE043252,adm2_en,Suba South,KEN_43_4308
Isiolo,KE011,KE011049,adm2_en,Isiolo North,KEN_11_1103
Isiolo,KE011,KE011049,adm2alt1_en,Merti,KEN_11_1103
Isiolo,KE011,KE011049,adm2alt2_en,Isiolo,KEN_11_1102
Isiolo,KE011,KE011050,adm2_en,Isiolo South,KEN_11_1101
