Residence / County,Headcount Rate (%),Distribution of the Poor (%),Poverty Gap (%),Severity of Poverty (%),Population ('000),Number of Poor ('000)
National,38.6,100.0,9.8,3.7,"49,529","19,122"
Rural,40.7,68.6,10.3,3.9,"33,686","13,720"
Urban,34.1,31.4,9.0,3.4,"15,844","5,402"
Mombasa,31.8,2.4,7.9,2.9,"1,265",402
Kwale,50.5,2.3,11.1,3.5,908,459
Kilifi,49.2,3.7,10.7,3.4,"1,515",746
Tana River,67.8,1.2,20.5,8.0,357,242
Lamu,35.1,0.3,8.9,3.1,151,53
Taita/Taveta,33.9,0.7,8.4,2.9,406,138
Garissa,68.3,3.0,17.6,6.4,881,601
Wajir,66.3,2.7,26.6,13.8,821,545
Mandera,71.9,3.3,25.2,11.3,908,653
Marsabit,65.9,1.6,20.7,8.8,486,321
Isiolo,53.9,0.8,17.2,7.1,281,152
Meru,26.3,2.1,6.9,2.4,"1,565",411
Tharaka-Nithi,28.1,0.6,4.9,1.2,400,112
Embu,28.7,0.9,6.4,2.1,624,179
Kitui,55.2,3.2,17.0,7.1,"1,155",637
Machakos,35.6,2.6,7.1,2.3,"1,469",522
Makueni,39.7,2.0,8.3,2.6,"1,000",397
Nyandarua,32.0,1.0,6.0,1.7,648,207
Nyeri,26.4,1.0,4.9,1.3,770,203
Kirinyaga,19.3,0.6,3.4,0.9,615,119
Murang'a,26.7,1.4,6.3,2.2,"1,073",286
Kiambu,20.5,2.9,3.8,1.2,"2,528",519
Turkana,77.7,3.7,38.2,22.9,955,743
West Pokot,61.4,2.0,19.1,8.0,644,396
Samburu,66.2,1.1,25.9,13.0,327,217
Trans Nzoia,36.3,2.0,7.4,2.2,"1,115",405
Uasin Gishu,40.4,2.4,11.4,4.3,"1,198",484
Elgeyo/Marakwet,47.3,1.1,10.1,3.3,467,221
Nandi,35.7,1.6,11.6,4.9,910,325
Baringo,47.5,1.6,10.0,3.1,689,328
Laikipia,34.8,0.9,8.6,3.0,539,188
Nakuru,39.4,4.5,7.2,1.8,"2,266",893
Narok,21.9,1.4,3.5,0.9,"1,263",276
Kajiado,39.2,2.7,7.8,2.4,"1,199",470
Kericho,39.8,1.9,9.9,3.4,941,375
Bomet,45.4,2.0,10.1,3.3,882,400
Kakamega,39.6,3.8,12.0,5.4,"1,902",753
Vihiga,48.8,1.4,10.5,3.2,593,290
Bungoma,43.9,3.9,11.0,3.9,"1,766",775
Busia,58.3,2.9,13.2,4.1,997,581
Siaya,34.2,1.7,6.3,1.6,"1,021",350
Kisumu,36.3,2.2,9.1,3.1,"1,193",433
Homa Bay,26.6,1.5,5.2,1.4,"1,167",310
Migori,48.0,2.8,12.1,4.2,"1,162",557
Kisii,37.2,2.4,8.4,2.7,"1,285",477
Nyamira,34.7,1.1,8.4,3.2,611,212
Nairobi City,16.5,7.4,3.0,0.8,"4,609",759
